Subject,GT_Cycles,AT_Cycles,TPc,FNc,FPc,Status
1,15,49,15,0,34,success
2,13,31,13,0,18,success
3,13,45,13,0,32,success
8,20,53,20,0,33,success
9,15,48,15,0,33,success
10,15,41,15,0,26,success
11,17,49,17,0,32,success
13,9,32,9,0,23,success
14,12,38,12,0,26,success
15,14,32,14,0,18,success
16,12,48,12,0,36,success
17,12,36,12,0,24,success
18,12,37,12,0,25,success
23,15,41,15,0,26,success
24,15,29,15,0,14,success
25,14,39,14,0,25,success
26,15,39,15,0,24,success
27,15,35,15,0,20,success
28,15,33,15,0,18,success
29,12,22,12,0,10,success
30,13,31,13,0,18,success
