subject_id,gt_cadence_left,gt_cadence_right,gt_cadence_avg,strikes_left,strikes_right,cadence_ransac_left,cadence_ransac_right,cadence_ransac_avg,cadence_percentile_left,cadence_percentile_right,cadence_percentile_avg,ransac_error,percentile_error,detector
S1_01,115.403,114.802,115.1025,46,50,102.85714285714285,110.76923076923076,106.8131868131868,87.80487804878048,97.29729729729729,92.5510876730389,-8.289313186813203,-22.551412326961113,template_v5
S1_10,118.078,116.988,117.533,40,36,107.46268656716417,105.88235294117648,106.67251975417032,94.24083769633509,94.73684210526316,94.48883990079912,-10.860480245829677,-23.04416009920088,template_v5
S1_11,112.023,112.496,112.2595,52,40,112.5,97.29729729729729,104.89864864864865,102.85714285714285,90.0,96.42857142857142,-7.360851351351357,-15.830928571428586,template_v5
S1_13,123.952,123.862,123.907,40,42,120.0,125.21739130434783,122.6086956521739,107.06319702602231,108.67924528301889,107.8712211545206,-1.2983043478260896,-16.0357788454794,template_v5
S1_14,112.48,112.727,112.6035,38,35,110.76923076923077,106.66666666666667,108.71794871794873,106.66666666666667,102.85714285714285,104.76190476190476,-3.885551282051267,-7.841595238095238,template_v5
S1_15,125.014,124.341,124.6775,44,44,110.4,110.4,110.4,102.22222222222221,99.28057553956835,100.75139888089528,-14.27749999999999,-23.926101119104715,template_v5
S1_16,110.357,111.967,111.162,53,49,106.15384615384616,106.15384615384616,106.15384615384616,98.57142857142857,92.0,95.28571428571428,-5.008153846153846,-15.876285714285729,template_v5
S1_17,110.357,111.967,111.162,41,40,102.22222222222221,106.15384615384616,104.18803418803418,91.69435215946844,98.57142857142857,95.1328903654485,-6.973965811965826,-16.029109634551503,template_v5
S1_18,119.379,118.247,118.813,38,40,105.45454545454545,108.75,107.10227272727272,96.66666666666666,107.4074074074074,102.03703703703704,-11.710727272727283,-16.775962962962964,template_v5
S1_02,113.666,113.198,113.43199999999999,33,49,97.29729729729729,175.60975609756096,136.45352669742914,92.3076923076923,160.71428571428572,126.51098901098902,23.021526697429152,13.078989010989034,template_v5
S1_23,107.403,108.137,107.77000000000001,37,40,102.85714285714285,102.85714285714285,102.85714285714285,99.3103448275862,94.42622950819671,96.86828716789145,-4.912857142857163,-10.901712832108558,template_v5
S1_24,112.703,112.529,112.616,36,39,102.22222222222221,102.22222222222221,102.22222222222221,92.0,96.84210526315788,94.42105263157893,-10.393777777777785,-18.19494736842107,template_v5
S1_25,114.806,114.797,114.8015,35,32,104.34782608695653,109.09090909090908,106.71936758893281,90.45226130653266,102.85714285714285,96.65470208183775,-8.082132411067192,-18.14679791816225,template_v5
S1_26,116.121,115.53,115.8255,39,37,102.3529411764706,102.3529411764706,102.3529411764706,96.66666666666666,94.05405405405405,95.36036036036035,-13.472558823529411,-20.46513963963966,template_v5
S1_27,114.208,113.986,114.09700000000001,38,41,106.66666666666667,110.76923076923077,108.71794871794873,102.85714285714285,106.66666666666667,104.76190476190476,-5.379051282051279,-9.33509523809525,template_v5
S1_28,112.499,111.785,112.142,35,33,110.76923076923077,102.85714285714285,106.8131868131868,102.49110320284697,92.3076923076923,97.39939775526963,-5.328813186813193,-14.742602244730364,template_v5
S1_29,129.162,129.04,129.101,29,35,120.0,120.0,120.0,106.66666666666667,115.19999999999999,110.93333333333334,-9.100999999999999,-18.167666666666662,template_v5
S1_03,113.666,113.198,113.43199999999999,52,39,116.1290322580645,100.0,108.06451612903226,109.09090909090908,87.37864077669903,98.23477493380406,-5.367483870967732,-15.197225066195927,template_v5
S1_30,108.142,107.997,108.0695,30,35,102.85714285714285,101.05263157894737,101.95488721804512,77.41935483870974,98.96907216494846,88.1942135018291,-6.114612781954889,-19.875286498170908,template_v5
S1_08,100.632,100.323,100.47749999999999,52,52,86.25,89.03225806451613,87.64112903225806,83.63636363636364,76.66666666666666,80.15151515151516,-12.836370967741928,-20.325984848484836,template_v5
S1_09,109.3,109.584,109.44200000000001,48,31,99.3103448275862,102.85714285714285,101.08374384236453,93.50649350649351,52.941176470588246,73.22383498854089,-8.35825615763548,-36.21816501145912,template_v5
